Round,robust_sym20asym0_100.txt,ce_sym20asym0_100.txt,ce_sym60asym0_100.txt,robust_sym60asym0_95.txt
45,3.5131863616406918,1.1452640030533074,1.7144483402371407,4.759150824323297
46,3.5104287167661825,1.1706786546856165,1.7260688163340092,4.737689410150051
47,3.467192176915705,1.1905219221487642,1.727091845870018,4.786105029284954
48,3.451714199408889,1.2071504471823573,1.7400792440399528,4.737760368734598
49,3.4803817570209503,1.2350902792066336,1.7531896449625493,4.7553130812942985
50,3.4511188726872204,1.2530328925698995,1.7613525439053774,4.722920580953359
51,3.4400152910500763,1.2803901077248157,1.7527133762836455,4.679266913235187
52,3.3724787760525943,1.3143171083182097,1.7662245057523251,4.643451995402574
53,3.4127192129381,1.3264671576209366,1.775011532753706,4.645661869645119
54,3.4060829430585726,1.3630347459577024,1.786399094760418,4.616525178402663
55,3.381168330460787,1.3899039464071392,1.7927097123116256,4.639502925425768
56,3.370493971183896,1.4255852760747074,1.7980771526694297,4.599121318757534
57,3.3481821950525044,1.4538490561768413,1.8055571340024472,4.610463315993547
58,3.3910465771332383,1.4866036523133517,1.8241534817963838,4.577566622104496
59,3.337521182000637,1.5248354381415994,1.8298027008771895,4.585919155925512
60,3.297540461376775,1.5374354456551373,1.8569897197186946,4.5645606309175495
61,3.261194749776769,1.580294191930443,1.8599971000105142,4.544683360308409
62,3.3039930004626514,1.6227986971382051,1.867585975676775,4.54101047962904
63,3.2832935504615306,1.6470522943884134,1.881876165047288,4.532503268867731
64,3.2671779457479717,1.686800405010581,1.8877491727471352,4.507950469851494
65,3.249630957469344,1.7225589537527413,1.9091717947274447,4.504557275027037
66,3.259709235280752,1.7704969309270382,1.9076915964484216,4.498872482404113
67,3.2606937692500653,1.8005787417292596,1.922014931216836,4.511263794451952
68,3.24308493770659,1.837616989389062,1.950110160931945,4.486984410136938
69,3.200091732526198,1.8812064411118627,1.9617077700793744,4.502630151063204
70,3.2227422893047333,1.9109008859843015,1.973126158863306,4.473341337963939
71,3.190686862624716,1.9330987127963453,1.9918454844504594,4.4034383073449135
72,3.196624505147338,1.9981563800014555,2.014539980143309,4.414682044833898
73,3.1876418087631464,1.9960640665143727,2.017596225813031,4.426257489621639
74,3.1604472933569925,2.076017502788454,2.0533050429075956,4.437588185071945
75,3.196284979581833,2.0854625711217523,2.057343664392829,4.390243652835489
76,3.1673373602330686,2.13467665463686,2.078380079194903,4.372197019308805
77,3.1857114428654314,2.195593825913966,2.104661428928375,4.391140427440405
78,3.1528633968904614,2.2035846286453307,2.123626519739628,4.377169500291347
79,3.116909820586443,2.2111987091600893,2.139327749237418,4.411218304932118
80,3.1416960364207625,2.294418660271913,2.1628904443234207,4.378108716383577
81,3.130147043836769,2.3132774263620375,2.174843840673566,4.379717675596476
82,3.13481978289783,2.381048475764692,2.1981374882161617,4.3702052667737
83,3.148980702459812,2.4493507374078036,2.221960361674428,4.363509501516819
84,3.102950100693852,2.4481208929792047,2.2528256464749576,4.373451416939497
85,3.109655077755451,2.467809141986072,2.2761936251074077,4.327803947031498
86,3.1686921548098326,2.537616034410894,2.30672865845263,4.318287222087383
87,3.105567614175379,2.569636916927993,2.3224710032343863,4.325623726844787
88,3.1161532927304507,2.5617995716631414,2.341699069738388,4.33772669583559
89,3.1185457915067674,2.576683844253421,2.372930553741753,4.32810582742095
90,3.091246550763026,2.663564658910036,2.4011949848383667,4.366319832950831
